type,size,time,program
emina,2,40.83203125,(#<procedure:moveUp> #<procedure:moveLeft>)
emina,4,43.338134765625,(#<procedure:moveUp> #<procedure:moveLeft> #<procedure:moveLeft> #<procedure:moveUp>)
emina,6,55.344970703125,(#<procedure:moveLeft> #<procedure:moveUp> #<procedure:moveUp> #<procedure:moveLeft> #<procedure:moveUp> #<procedure:moveLeft>)
emina,8,90.989990234375,(#<procedure:moveLeft> #<procedure:moveUp> #<procedure:moveLeft> #<procedure:moveLeft> #<procedure:moveLeft> #<procedure:moveUp> #<procedure:moveUp> #<procedure:moveUp>)
emina,10,327.320068359375,(#<procedure:moveLeft> #<procedure:moveUp> #<procedure:moveLeft> #<procedure:moveUp> #<procedure:moveUp> #<procedure:moveUp> #<procedure:moveUp> #<procedure:moveLeft> #<procedure:moveLeft> #<procedure:moveLeft>)
emina,12,630.926025390625,(#<procedure:moveUp> #<procedure:moveLeft> #<procedure:moveLeft> #<procedure:moveLeft> #<procedure:moveUp> #<procedure:moveUp> #<procedure:moveLeft> #<procedure:moveUp> #<procedure:moveUp> #<procedure:moveUp> #<procedure:moveLeft> #<procedure:moveLeft>)
emina,14,4162.494873046875,(#<procedure:moveLeft> #<procedure:moveLeft> #<procedure:moveLeft> #<procedure:moveLeft> #<procedure:moveLeft> #<procedure:moveLeft> #<procedure:moveUp> #<procedure:moveUp> #<procedure:moveUp> #<procedure:moveUp> #<procedure:moveUp> #<procedure:moveUp> #<procedure:moveUp> #<procedure:moveLeft>)
emina,16,6070.715087890625,(#<procedure:moveUp> #<procedure:moveLeft> #<procedure:moveUp> #<procedure:moveUp> #<procedure:moveLeft> #<procedure:moveUp> #<procedure:moveUp> #<procedure:moveLeft> #<procedure:moveUp> #<procedure:moveLeft> #<procedure:moveUp> #<procedure:moveLeft> #<procedure:moveLeft> #<procedure:moveLeft> #<procedure:moveLeft> #<procedure:moveUp>)
emina,18,51896.238037109375,(#<procedure:moveUp> #<procedure:moveUp> #<procedure:moveLeft> #<procedure:moveLeft> #<procedure:moveLeft> #<procedure:moveLeft> #<procedure:moveLeft> #<procedure:moveLeft> #<procedure:moveLeft> #<procedure:moveUp> #<procedure:moveUp> #<procedure:moveUp> #<procedure:moveUp> #<procedure:moveUp> #<procedure:moveUp> #<procedure:moveLeft> #<procedure:moveLeft> #<procedure:moveUp>)
emina,20,198813.01904296875,(#<procedure:moveLeft> #<procedure:moveUp> #<procedure:moveUp> #<procedure:moveUp> #<procedure:moveUp> #<procedure:moveUp> #<procedure:moveUp> #<procedure:moveUp> #<procedure:moveLeft> #<procedure:moveLeft> #<procedure:moveLeft> #<procedure:moveLeft> #<procedure:moveUp> #<procedure:moveUp> #<procedure:moveLeft> #<procedure:moveUp> #<procedure:moveLeft> #<procedure:moveLeft> #<procedure:moveLeft> #<procedure:moveLeft>)
